model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
aim_on_breadcrumbs__calib_instruction,candidate,general,base,0,mmd_rbf,0.006353420205414295,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,0,projected_js,0.04629813716746867,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,1,mmd_rbf,0.009692958556115627,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,1,projected_js,0.05327525764005259,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,2,mmd_rbf,0.010233687236905098,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,2,projected_js,0.05657110354513861,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,3,mmd_rbf,0.011736312881112099,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,3,projected_js,0.0591065228509251,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,4,mmd_rbf,0.011384312063455582,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,4,projected_js,0.05690009007230401,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,5,mmd_rbf,0.010744581930339336,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,5,projected_js,0.058987004129448906,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,6,mmd_rbf,0.008478044532239437,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,6,projected_js,0.05560396594228223,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,7,mmd_rbf,0.007446272764354944,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,7,projected_js,0.057649128313641995,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,8,mmd_rbf,0.006142676807940006,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,8,projected_js,0.05511120628216304,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,9,mmd_rbf,0.006211347412317991,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,9,projected_js,0.058253922150470316,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,10,mmd_rbf,0.006263726390898228,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,10,projected_js,0.05689600421465002,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,11,mmd_rbf,0.006048639304935932,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,11,projected_js,0.058746368245920166,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,12,mmd_rbf,0.006056257989257574,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,12,projected_js,0.058785712521057576,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,13,mmd_rbf,0.0063260565511882305,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,13,projected_js,0.05834908987162635,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,14,mmd_rbf,0.006437146570533514,128
aim_on_breadcrumbs__calib_instruction,candidate,general,base,14,projected_js,0.05982636765111238,128
