model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,0,mmd_rbf,0.006418013479560614,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,0,projected_js,0.04528985975775868,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,1,mmd_rbf,0.00975451897829771,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,1,projected_js,0.05418416595784947,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,2,mmd_rbf,0.01026840414851904,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,2,projected_js,0.05525738722644746,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,3,mmd_rbf,0.01180147286504507,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,3,projected_js,0.05968611338175833,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,4,mmd_rbf,0.011407640762627125,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,4,projected_js,0.05768967777839862,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,5,mmd_rbf,0.010795230977237225,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,5,projected_js,0.05989145900821313,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,6,mmd_rbf,0.008515170775353909,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,6,projected_js,0.05566189097589813,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,7,mmd_rbf,0.007469512522220612,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,7,projected_js,0.05732858780538663,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,8,mmd_rbf,0.006163949612528086,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,8,projected_js,0.05604449950624257,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,9,mmd_rbf,0.006235485430806875,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,9,projected_js,0.05744506261544302,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,10,mmd_rbf,0.006278303451836109,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,10,projected_js,0.05781633872538805,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,11,mmd_rbf,0.0060541145503520966,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,11,projected_js,0.058693753264378756,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,12,mmd_rbf,0.006057227496057749,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,12,projected_js,0.05763105978257954,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,13,mmd_rbf,0.006326289381831884,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,13,projected_js,0.05932276166277006,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,14,mmd_rbf,0.006442524492740631,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,14,projected_js,0.05982193729141727,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,15,mmd_rbf,0.0068692476488649845,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,15,projected_js,0.05672843608772382,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,16,mmd_rbf,0.007781571242958307,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,16,projected_js,0.06002939573954791,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,17,mmd_rbf,0.00761046726256609,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,17,projected_js,0.06312883883947507,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,18,mmd_rbf,0.007993506267666817,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,18,projected_js,0.0636180259170942,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,19,mmd_rbf,0.008049698546528816,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,19,projected_js,0.06256077601574361,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,20,mmd_rbf,0.007808232214301825,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,20,projected_js,0.061690698203165084,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,21,mmd_rbf,0.007855921983718872,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,21,projected_js,0.06446213263552636,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,22,mmd_rbf,0.007313344161957502,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,22,projected_js,0.061838200432248414,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,23,mmd_rbf,0.006914655212312937,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,23,projected_js,0.061956174205988646,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,24,mmd_rbf,0.006442868150770664,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,24,projected_js,0.058315721194958314,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,25,mmd_rbf,0.006133292801678181,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,25,projected_js,0.05566686432575807,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,26,mmd_rbf,0.006160087883472443,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,26,projected_js,0.05406760351615958,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,27,mmd_rbf,0.006137011107057333,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,27,projected_js,0.060369583807187155,128
aim_on_breadcrumbs__calib_reasoning,candidate,general,base,28,mmd_rbf,0.005821194499731064,128
