model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
aim_on_dare__calib_general,candidate,general,base,0,mmd_rbf,0.004957783501595259,128
aim_on_dare__calib_general,candidate,general,base,0,projected_js,0.04309482242388185,128
aim_on_dare__calib_general,candidate,general,base,1,mmd_rbf,0.011036678217351437,128
aim_on_dare__calib_general,candidate,general,base,1,projected_js,0.05167515721404925,128
aim_on_dare__calib_general,candidate,general,base,2,mmd_rbf,0.00979499239474535,128
aim_on_dare__calib_general,candidate,general,base,2,projected_js,0.05496249804855324,128
aim_on_dare__calib_general,candidate,general,base,3,mmd_rbf,0.011594977229833603,128
aim_on_dare__calib_general,candidate,general,base,3,projected_js,0.05790658912155777,128
aim_on_dare__calib_general,candidate,general,base,4,mmd_rbf,0.010264228098094463,128
aim_on_dare__calib_general,candidate,general,base,4,projected_js,0.055304121458902955,128
aim_on_dare__calib_general,candidate,general,base,5,mmd_rbf,0.00948347058147192,128
aim_on_dare__calib_general,candidate,general,base,5,projected_js,0.05638297984842211,128
aim_on_dare__calib_general,candidate,general,base,6,mmd_rbf,0.007213667966425419,128
aim_on_dare__calib_general,candidate,general,base,6,projected_js,0.05124855792382732,128
aim_on_dare__calib_general,candidate,general,base,7,mmd_rbf,0.0065398248843848705,128
aim_on_dare__calib_general,candidate,general,base,7,projected_js,0.05216653289971873,128
aim_on_dare__calib_general,candidate,general,base,8,mmd_rbf,0.005290848668664694,128
aim_on_dare__calib_general,candidate,general,base,8,projected_js,0.054266794642899185,128
aim_on_dare__calib_general,candidate,general,base,9,mmd_rbf,0.005221439525485039,128
aim_on_dare__calib_general,candidate,general,base,9,projected_js,0.05697496503125876,128
aim_on_dare__calib_general,candidate,general,base,10,mmd_rbf,0.005413467530161142,128
aim_on_dare__calib_general,candidate,general,base,10,projected_js,0.054175365541595966,128
aim_on_dare__calib_general,candidate,general,base,11,mmd_rbf,0.0053964052349328995,128
aim_on_dare__calib_general,candidate,general,base,11,projected_js,0.057665031868964434,128
aim_on_dare__calib_general,candidate,general,base,12,mmd_rbf,0.005492526572197676,128
aim_on_dare__calib_general,candidate,general,base,12,projected_js,0.05670508116600104,128
aim_on_dare__calib_general,candidate,general,base,13,mmd_rbf,0.005859960336238146,128
aim_on_dare__calib_general,candidate,general,base,13,projected_js,0.05618964691529982,128
aim_on_dare__calib_general,candidate,general,base,14,mmd_rbf,0.00605397904291749,128
aim_on_dare__calib_general,candidate,general,base,14,projected_js,0.05839820296387188,128
