model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
aim_on_dare__calib_reasoning,candidate,general,base,0,mmd_rbf,0.004877579398453236,128
aim_on_dare__calib_reasoning,candidate,general,base,0,projected_js,0.043749045027652755,128
aim_on_dare__calib_reasoning,candidate,general,base,1,mmd_rbf,0.010789512656629086,128
aim_on_dare__calib_reasoning,candidate,general,base,1,projected_js,0.050967036295332946,128
aim_on_dare__calib_reasoning,candidate,general,base,2,mmd_rbf,0.00953234639018774,128
aim_on_dare__calib_reasoning,candidate,general,base,2,projected_js,0.054125568363815546,128
aim_on_dare__calib_reasoning,candidate,general,base,3,mmd_rbf,0.011320999823510647,128
aim_on_dare__calib_reasoning,candidate,general,base,3,projected_js,0.05596817869809456,128
aim_on_dare__calib_reasoning,candidate,general,base,4,mmd_rbf,0.009985742159187794,128
aim_on_dare__calib_reasoning,candidate,general,base,4,projected_js,0.05459929013159126,128
aim_on_dare__calib_reasoning,candidate,general,base,5,mmd_rbf,0.009330116212368011,128
aim_on_dare__calib_reasoning,candidate,general,base,5,projected_js,0.05745943944202736,128
aim_on_dare__calib_reasoning,candidate,general,base,6,mmd_rbf,0.007122778333723545,128
aim_on_dare__calib_reasoning,candidate,general,base,6,projected_js,0.050034317770041525,128
aim_on_dare__calib_reasoning,candidate,general,base,7,mmd_rbf,0.006485360208898783,128
aim_on_dare__calib_reasoning,candidate,general,base,7,projected_js,0.05291138164466247,128
aim_on_dare__calib_reasoning,candidate,general,base,8,mmd_rbf,0.005260433070361614,128
aim_on_dare__calib_reasoning,candidate,general,base,8,projected_js,0.05520426097791642,128
aim_on_dare__calib_reasoning,candidate,general,base,9,mmd_rbf,0.005201743450015783,128
aim_on_dare__calib_reasoning,candidate,general,base,9,projected_js,0.056703375943470746,128
aim_on_dare__calib_reasoning,candidate,general,base,10,mmd_rbf,0.005395193584263325,128
aim_on_dare__calib_reasoning,candidate,general,base,10,projected_js,0.054988061951007694,128
aim_on_dare__calib_reasoning,candidate,general,base,11,mmd_rbf,0.005382958333939314,128
aim_on_dare__calib_reasoning,candidate,general,base,11,projected_js,0.05587277840822935,128
aim_on_dare__calib_reasoning,candidate,general,base,12,mmd_rbf,0.005478354170918465,128
aim_on_dare__calib_reasoning,candidate,general,base,12,projected_js,0.05679349470301531,128
aim_on_dare__calib_reasoning,candidate,general,base,13,mmd_rbf,0.005851019639521837,128
aim_on_dare__calib_reasoning,candidate,general,base,13,projected_js,0.056317145557841286,128
aim_on_dare__calib_reasoning,candidate,general,base,14,mmd_rbf,0.006055832374840975,128
aim_on_dare__calib_reasoning,candidate,general,base,14,projected_js,0.05754691027686931,128
aim_on_dare__calib_reasoning,candidate,general,base,15,mmd_rbf,0.006663057487457991,128
aim_on_dare__calib_reasoning,candidate,general,base,15,projected_js,0.05915741267381236,128
aim_on_dare__calib_reasoning,candidate,general,base,16,mmd_rbf,0.007694181986153126,128
aim_on_dare__calib_reasoning,candidate,general,base,16,projected_js,0.06042791440268047,128
aim_on_dare__calib_reasoning,candidate,general,base,17,mmd_rbf,0.007416234817355871,128
aim_on_dare__calib_reasoning,candidate,general,base,17,projected_js,0.05997457558987662,128
aim_on_dare__calib_reasoning,candidate,general,base,18,mmd_rbf,0.00805153138935566,128
aim_on_dare__calib_reasoning,candidate,general,base,18,projected_js,0.06230403343215585,128
aim_on_dare__calib_reasoning,candidate,general,base,19,mmd_rbf,0.008200670592486858,128
aim_on_dare__calib_reasoning,candidate,general,base,19,projected_js,0.06415175192523748,128
aim_on_dare__calib_reasoning,candidate,general,base,20,mmd_rbf,0.007940663956105709,128
aim_on_dare__calib_reasoning,candidate,general,base,20,projected_js,0.06247290805913508,128
aim_on_dare__calib_reasoning,candidate,general,base,21,mmd_rbf,0.008192243985831738,128
aim_on_dare__calib_reasoning,candidate,general,base,21,projected_js,0.06119541570660658,128
aim_on_dare__calib_reasoning,candidate,general,base,22,mmd_rbf,0.007496566977351904,128
