model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,0,mmd_rbf,0.005102253053337336,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,0,projected_js,0.04443002420885023,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,1,mmd_rbf,0.011109446175396442,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,1,projected_js,0.051170280639780685,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,2,mmd_rbf,0.009775265119969845,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,2,projected_js,0.05395929078804329,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,3,mmd_rbf,0.011514748446643353,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,3,projected_js,0.05774143512826413,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,4,mmd_rbf,0.010204116813838482,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,4,projected_js,0.05473377782618627,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,5,mmd_rbf,0.009509245865046978,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,5,projected_js,0.058360124472528696,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,6,mmd_rbf,0.0072451322339475155,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,6,projected_js,0.051509404758689925,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,7,mmd_rbf,0.006575675215572119,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,7,projected_js,0.05410712523735128,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,8,mmd_rbf,0.005324633326381445,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,8,projected_js,0.055503875570138916,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,9,mmd_rbf,0.005260781850665808,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,9,projected_js,0.05673041200498119,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,10,mmd_rbf,0.00546188885346055,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,10,projected_js,0.05551846287562512,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,11,mmd_rbf,0.005457490216940641,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,11,projected_js,0.05713649038807489,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,12,mmd_rbf,0.005552926100790501,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,12,projected_js,0.05651520230458118,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,13,mmd_rbf,0.005947476252913475,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,13,projected_js,0.055541803798405454,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,14,mmd_rbf,0.006131940986961126,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,14,projected_js,0.057158653798978776,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,15,mmd_rbf,0.006780456285923719,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,15,projected_js,0.05809655151097104,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,16,mmd_rbf,0.007799550890922546,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,16,projected_js,0.062311121699167415,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,17,mmd_rbf,0.007571217603981495,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,17,projected_js,0.059192217246163636,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,18,mmd_rbf,0.008245084434747696,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,18,projected_js,0.06362146203173324,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,19,mmd_rbf,0.008424152620136738,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,19,projected_js,0.06381279905326664,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,20,mmd_rbf,0.008175387047231197,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,20,projected_js,0.059351356874685735,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,21,mmd_rbf,0.008444060571491718,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,21,projected_js,0.06281257382943295,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,22,mmd_rbf,0.007781708147376776,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,22,projected_js,0.06200323154916987,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,23,mmd_rbf,0.007217166014015675,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,23,projected_js,0.06244998873444274,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,24,mmd_rbf,0.00652541546151042,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,24,projected_js,0.05731834445032291,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,25,mmd_rbf,0.006109799724072218,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,25,projected_js,0.055878746206872165,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,26,mmd_rbf,0.006029674783349037,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,26,projected_js,0.05520195682765916,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,27,mmd_rbf,0.005933777429163456,128
aim_on_dare__calib_uncensored_refusal_like,candidate,general,base,27,projected_js,0.05748913867864758,128
