model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
aim_on_della__calib_instruction,candidate,general,base,0,mmd_rbf,0.004997462034225464,128
aim_on_della__calib_instruction,candidate,general,base,0,projected_js,0.04177531732420903,128
aim_on_della__calib_instruction,candidate,general,base,1,mmd_rbf,0.010776089504361153,128
aim_on_della__calib_instruction,candidate,general,base,1,projected_js,0.05072494052001275,128
aim_on_della__calib_instruction,candidate,general,base,2,mmd_rbf,0.009399543516337872,128
aim_on_della__calib_instruction,candidate,general,base,2,projected_js,0.05355858471011743,128
aim_on_della__calib_instruction,candidate,general,base,3,mmd_rbf,0.01114837359637022,128
aim_on_della__calib_instruction,candidate,general,base,3,projected_js,0.05535827705170959,128
aim_on_della__calib_instruction,candidate,general,base,4,mmd_rbf,0.009967765770852566,128
aim_on_della__calib_instruction,candidate,general,base,4,projected_js,0.055829962773714215,128
aim_on_della__calib_instruction,candidate,general,base,5,mmd_rbf,0.009351409040391445,128
aim_on_della__calib_instruction,candidate,general,base,5,projected_js,0.05516161778359674,128
aim_on_della__calib_instruction,candidate,general,base,6,mmd_rbf,0.007174128200858831,128
aim_on_della__calib_instruction,candidate,general,base,6,projected_js,0.05159779914538376,128
aim_on_della__calib_instruction,candidate,general,base,7,mmd_rbf,0.006509460508823395,128
aim_on_della__calib_instruction,candidate,general,base,7,projected_js,0.05264939059270546,128
aim_on_della__calib_instruction,candidate,general,base,8,mmd_rbf,0.005312310066074133,128
aim_on_della__calib_instruction,candidate,general,base,8,projected_js,0.05524105136282742,128
aim_on_della__calib_instruction,candidate,general,base,9,mmd_rbf,0.005276940297335386,128
aim_on_della__calib_instruction,candidate,general,base,9,projected_js,0.05591968141379766,128
aim_on_della__calib_instruction,candidate,general,base,10,mmd_rbf,0.005486930720508099,128
aim_on_della__calib_instruction,candidate,general,base,10,projected_js,0.05552481737686321,128
aim_on_della__calib_instruction,candidate,general,base,11,mmd_rbf,0.005410920362919569,128
aim_on_della__calib_instruction,candidate,general,base,11,projected_js,0.05754726429586299,128
aim_on_della__calib_instruction,candidate,general,base,12,mmd_rbf,0.005506629124283791,128
aim_on_della__calib_instruction,candidate,general,base,12,projected_js,0.05688205227488652,128
aim_on_della__calib_instruction,candidate,general,base,13,mmd_rbf,0.005861103069037199,128
aim_on_della__calib_instruction,candidate,general,base,13,projected_js,0.05878430310986005,128
aim_on_della__calib_instruction,candidate,general,base,14,mmd_rbf,0.006070141680538654,128
aim_on_della__calib_instruction,candidate,general,base,14,projected_js,0.05917965521803126,128
aim_on_della__calib_instruction,candidate,general,base,15,mmd_rbf,0.006697371602058411,128
aim_on_della__calib_instruction,candidate,general,base,15,projected_js,0.057571923767682165,128
aim_on_della__calib_instruction,candidate,general,base,16,mmd_rbf,0.007773113436996937,128
aim_on_della__calib_instruction,candidate,general,base,16,projected_js,0.062198352883569896,128
aim_on_della__calib_instruction,candidate,general,base,17,mmd_rbf,0.007444560527801514,128
aim_on_della__calib_instruction,candidate,general,base,17,projected_js,0.059302149718860164,128
aim_on_della__calib_instruction,candidate,general,base,18,mmd_rbf,0.00808778591454029,128
aim_on_della__calib_instruction,candidate,general,base,18,projected_js,0.06297210277989507,128
aim_on_della__calib_instruction,candidate,general,base,19,mmd_rbf,0.008276296779513359,128
aim_on_della__calib_instruction,candidate,general,base,19,projected_js,0.06356690474785864,128
aim_on_della__calib_instruction,candidate,general,base,20,mmd_rbf,0.008033365942537785,128
aim_on_della__calib_instruction,candidate,general,base,20,projected_js,0.06275991722941399,128
aim_on_della__calib_instruction,candidate,general,base,21,mmd_rbf,0.008290017955005169,128
aim_on_della__calib_instruction,candidate,general,base,21,projected_js,0.06124825723236427,128
aim_on_della__calib_instruction,candidate,general,base,22,mmd_rbf,0.007609833963215351,128
aim_on_della__calib_instruction,candidate,general,base,22,projected_js,0.06242432651924901,128
aim_on_della__calib_instruction,candidate,general,base,23,mmd_rbf,0.007057777140289545,128
aim_on_della__calib_instruction,candidate,general,base,23,projected_js,0.061730061628622934,128
aim_on_della__calib_instruction,candidate,general,base,24,mmd_rbf,0.006347295828163624,128
aim_on_della__calib_instruction,candidate,general,base,24,projected_js,0.05854902876308188,128
aim_on_della__calib_instruction,candidate,general,base,25,mmd_rbf,0.0059376610442996025,128
aim_on_della__calib_instruction,candidate,general,base,25,projected_js,0.05628812016220763,128
aim_on_della__calib_instruction,candidate,general,base,26,mmd_rbf,0.005862161982804537,128
aim_on_della__calib_instruction,candidate,general,base,26,projected_js,0.057697343960171565,128
aim_on_della__calib_instruction,candidate,general,base,27,mmd_rbf,0.005780092906206846,128
aim_on_della__calib_instruction,candidate,general,base,27,projected_js,0.05972926795948297,128
aim_on_della__calib_instruction,candidate,general,base,28,mmd_rbf,0.005483649671077728,128
aim_on_della__calib_instruction,candidate,general,base,28,projected_js,0.05730872886488214,128
aim_on_della__calib_instruction,candidate,general,base,29,mmd_rbf,0.005291674751788378,128
aim_on_della__calib_instruction,candidate,general,base,29,projected_js,0.055340476596029475,128
aim_on_della__calib_instruction,candidate,general,base,30,mmd_rbf,0.0051159546710550785,128
aim_on_della__calib_instruction,candidate,general,base,30,projected_js,0.05690241343108937,128
aim_on_della__calib_instruction,candidate,general,base,31,mmd_rbf,0.004878038074821234,128
aim_on_della__calib_instruction,candidate,general,base,31,projected_js,0.05849492526613176,128
aim_on_della__calib_instruction,candidate,general,base,32,mmd_rbf,0.00524037703871727,128
aim_on_della__calib_instruction,candidate,general,base,32,projected_js,0.05693538434570655,128
aim_on_della__calib_instruction,candidate,general,base,33,mmd_rbf,0.00565165001899004,128
aim_on_della__calib_instruction,candidate,general,base,33,projected_js,0.06006876187166199,128
aim_on_della__calib_instruction,candidate,general,base,34,mmd_rbf,0.01068415679037571,128
aim_on_della__calib_instruction,candidate,general,base,34,projected_js,0.06161138537572697,128
aim_on_della__calib_instruction,candidate,general,base,35,mmd_rbf,0.06401019543409348,128
aim_on_della__calib_instruction,candidate,general,base,35,projected_js,0.10719008836895227,128
aim_on_della__calib_instruction,candidate,general,instr_only,0,mmd_rbf,0.002706045052036643,128
aim_on_della__calib_instruction,candidate,general,instr_only,0,projected_js,0.031161468446953222,128
aim_on_della__calib_instruction,candidate,general,instr_only,1,mmd_rbf,0.00583609938621521,128
aim_on_della__calib_instruction,candidate,general,instr_only,1,projected_js,0.03886943464749493,128
aim_on_della__calib_instruction,candidate,general,instr_only,2,mmd_rbf,0.006202574819326401,128
aim_on_della__calib_instruction,candidate,general,instr_only,2,projected_js,0.04391692962963134,128
aim_on_della__calib_instruction,candidate,general,instr_only,3,mmd_rbf,0.0073046148754656315,128
aim_on_della__calib_instruction,candidate,general,instr_only,3,projected_js,0.049174209212651476,128
