model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
aim_on_della__calib_reasoning,candidate,general,base,0,mmd_rbf,0.00508306035771966,128
aim_on_della__calib_reasoning,candidate,general,base,0,projected_js,0.0424579884565901,128
aim_on_della__calib_reasoning,candidate,general,base,1,mmd_rbf,0.01086754072457552,128
aim_on_della__calib_reasoning,candidate,general,base,1,projected_js,0.051960239274194464,128
aim_on_della__calib_reasoning,candidate,general,base,2,mmd_rbf,0.009502473287284374,128
aim_on_della__calib_reasoning,candidate,general,base,2,projected_js,0.05342751042917371,128
aim_on_della__calib_reasoning,candidate,general,base,3,mmd_rbf,0.011322359554469585,128
aim_on_della__calib_reasoning,candidate,general,base,3,projected_js,0.05514948122436181,128
aim_on_della__calib_reasoning,candidate,general,base,4,mmd_rbf,0.010080262087285519,128
aim_on_della__calib_reasoning,candidate,general,base,4,projected_js,0.05619698952068575,128
aim_on_della__calib_reasoning,candidate,general,base,5,mmd_rbf,0.009433633647859097,128
aim_on_della__calib_reasoning,candidate,general,base,5,projected_js,0.05665663618128747,128
aim_on_della__calib_reasoning,candidate,general,base,6,mmd_rbf,0.007216277066618204,128
aim_on_della__calib_reasoning,candidate,general,base,6,projected_js,0.051764176081633195,128
aim_on_della__calib_reasoning,candidate,general,base,7,mmd_rbf,0.006532307714223862,128
aim_on_della__calib_reasoning,candidate,general,base,7,projected_js,0.0529064052097965,128
aim_on_della__calib_reasoning,candidate,general,base,8,mmd_rbf,0.005332006141543388,128
aim_on_della__calib_reasoning,candidate,general,base,8,projected_js,0.05531237254035659,128
aim_on_della__calib_reasoning,candidate,general,base,9,mmd_rbf,0.0052934312261641026,128
aim_on_della__calib_reasoning,candidate,general,base,9,projected_js,0.055602634412935004,128
aim_on_della__calib_reasoning,candidate,general,base,10,mmd_rbf,0.005493830889463425,128
aim_on_della__calib_reasoning,candidate,general,base,10,projected_js,0.05492783561930992,128
aim_on_della__calib_reasoning,candidate,general,base,11,mmd_rbf,0.005415787920355797,128
aim_on_della__calib_reasoning,candidate,general,base,11,projected_js,0.05807558406377211,128
aim_on_della__calib_reasoning,candidate,general,base,12,mmd_rbf,0.005501055624336004,128
aim_on_della__calib_reasoning,candidate,general,base,12,projected_js,0.05630451859906316,128
aim_on_della__calib_reasoning,candidate,general,base,13,mmd_rbf,0.005848666653037071,128
aim_on_della__calib_reasoning,candidate,general,base,13,projected_js,0.05773023306392133,128
aim_on_della__calib_reasoning,candidate,general,base,14,mmd_rbf,0.006072795018553734,128
aim_on_della__calib_reasoning,candidate,general,base,14,projected_js,0.057981502439361066,128
aim_on_della__calib_reasoning,candidate,general,base,15,mmd_rbf,0.006698031909763813,128
aim_on_della__calib_reasoning,candidate,general,base,15,projected_js,0.05775175619055517,128
aim_on_della__calib_reasoning,candidate,general,base,16,mmd_rbf,0.007777166552841663,128
aim_on_della__calib_reasoning,candidate,general,base,16,projected_js,0.06157284550135955,128
aim_on_della__calib_reasoning,candidate,general,base,17,mmd_rbf,0.007430157158523798,128
aim_on_della__calib_reasoning,candidate,general,base,17,projected_js,0.058388483652379364,128
aim_on_della__calib_reasoning,candidate,general,base,18,mmd_rbf,0.008064252324402332,128
aim_on_della__calib_reasoning,candidate,general,base,18,projected_js,0.06479493359802291,128
aim_on_della__calib_reasoning,candidate,general,base,19,mmd_rbf,0.008247514255344868,128
aim_on_della__calib_reasoning,candidate,general,base,19,projected_js,0.06385559815680608,128
aim_on_della__calib_reasoning,candidate,general,base,20,mmd_rbf,0.00800494384020567,128
aim_on_della__calib_reasoning,candidate,general,base,20,projected_js,0.06228342588292435,128
aim_on_della__calib_reasoning,candidate,general,base,21,mmd_rbf,0.008259608410298824,128
aim_on_della__calib_reasoning,candidate,general,base,21,projected_js,0.06219984375638887,128
aim_on_della__calib_reasoning,candidate,general,base,22,mmd_rbf,0.0075773135758936405,128
aim_on_della__calib_reasoning,candidate,general,base,22,projected_js,0.06158808124018833,128
aim_on_della__calib_reasoning,candidate,general,base,23,mmd_rbf,0.007009656634181738,128
aim_on_della__calib_reasoning,candidate,general,base,23,projected_js,0.06258257949957624,128
aim_on_della__calib_reasoning,candidate,general,base,24,mmd_rbf,0.0063053616322577,128
aim_on_della__calib_reasoning,candidate,general,base,24,projected_js,0.058091720449738204,128
aim_on_della__calib_reasoning,candidate,general,base,25,mmd_rbf,0.005897385533899069,128
