model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
aim_on_task_arithmetic__calib_general,candidate,general,base,0,mmd_rbf,0.004633832257241011,128
aim_on_task_arithmetic__calib_general,candidate,general,base,0,projected_js,0.03817430810886435,128
aim_on_task_arithmetic__calib_general,candidate,general,base,1,mmd_rbf,0.00900917686522007,128
aim_on_task_arithmetic__calib_general,candidate,general,base,1,projected_js,0.04605439305305481,128
aim_on_task_arithmetic__calib_general,candidate,general,base,2,mmd_rbf,0.008086422458291054,128
aim_on_task_arithmetic__calib_general,candidate,general,base,2,projected_js,0.04859956810832955,128
aim_on_task_arithmetic__calib_general,candidate,general,base,3,mmd_rbf,0.010528923943638802,128
aim_on_task_arithmetic__calib_general,candidate,general,base,3,projected_js,0.0556718488514889,128
aim_on_task_arithmetic__calib_general,candidate,general,base,4,mmd_rbf,0.009700129739940166,128
aim_on_task_arithmetic__calib_general,candidate,general,base,4,projected_js,0.05336016745422967,128
aim_on_task_arithmetic__calib_general,candidate,general,base,5,mmd_rbf,0.009024363942444324,128
aim_on_task_arithmetic__calib_general,candidate,general,base,5,projected_js,0.05537180777173489,128
aim_on_task_arithmetic__calib_general,candidate,general,base,6,mmd_rbf,0.006849294062703848,128
aim_on_task_arithmetic__calib_general,candidate,general,base,6,projected_js,0.052975540718762204,128
aim_on_task_arithmetic__calib_general,candidate,general,base,7,mmd_rbf,0.006151692010462284,128
aim_on_task_arithmetic__calib_general,candidate,general,base,7,projected_js,0.054203665524255484,128
aim_on_task_arithmetic__calib_general,candidate,general,base,8,mmd_rbf,0.004958509001880884,128
aim_on_task_arithmetic__calib_general,candidate,general,base,8,projected_js,0.053415735077578574,128
aim_on_task_arithmetic__calib_general,candidate,general,base,9,mmd_rbf,0.004884794354438782,128
aim_on_task_arithmetic__calib_general,candidate,general,base,9,projected_js,0.05415386019740254,128
aim_on_task_arithmetic__calib_general,candidate,general,base,10,mmd_rbf,0.004939094185829163,128
aim_on_task_arithmetic__calib_general,candidate,general,base,10,projected_js,0.05500473786378279,128
