model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,0,mmd_rbf,0.0047969878651201725,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,0,projected_js,0.039437239116523415,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,1,mmd_rbf,0.009141959249973297,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,1,projected_js,0.04623698932118714,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,2,mmd_rbf,0.008113781921565533,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,2,projected_js,0.0492475010396447,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,3,mmd_rbf,0.01047538872808218,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,3,projected_js,0.05481187562691048,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,4,mmd_rbf,0.00965332705527544,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,4,projected_js,0.05314831144642085,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,5,mmd_rbf,0.009030974470078945,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,5,projected_js,0.055178447073558345,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,6,mmd_rbf,0.006869453936815262,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,6,projected_js,0.052711081807501614,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,7,mmd_rbf,0.006172212306410074,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,7,projected_js,0.05446121437125839,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,8,mmd_rbf,0.004978503566235304,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,8,projected_js,0.05348181276349351,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,9,mmd_rbf,0.00491491099819541,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,9,projected_js,0.05422640798497014,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,10,mmd_rbf,0.004984432365745306,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,10,projected_js,0.055511094513349235,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,11,mmd_rbf,0.004960568156093359,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,11,projected_js,0.056384328578133136,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,12,mmd_rbf,0.005034970119595528,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,12,projected_js,0.05771365066175349,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,13,mmd_rbf,0.005353749264031649,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,13,projected_js,0.05668645183322951,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,14,mmd_rbf,0.005549405701458454,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,14,projected_js,0.05622125510126352,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,15,mmd_rbf,0.0061599561013281345,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,15,projected_js,0.0553960453835316,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,16,mmd_rbf,0.007186408620327711,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,16,projected_js,0.05856260331347585,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,17,mmd_rbf,0.007014435715973377,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,17,projected_js,0.05791224696440622,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,18,mmd_rbf,0.00767604261636734,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,18,projected_js,0.06285971915349364,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,19,mmd_rbf,0.007912498898804188,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,19,projected_js,0.06110289925709367,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,20,mmd_rbf,0.007680048234760761,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,20,projected_js,0.05730906760436483,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,21,mmd_rbf,0.00793019775301218,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,21,projected_js,0.05982363881776109,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,22,mmd_rbf,0.00730962073430419,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,22,projected_js,0.0618873450148385,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,23,mmd_rbf,0.006768408697098494,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,23,projected_js,0.060246928478591144,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,24,mmd_rbf,0.006049344781786203,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,24,projected_js,0.05925673572346568,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,25,mmd_rbf,0.005580679979175329,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,25,projected_js,0.05676228256197646,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,26,mmd_rbf,0.005455495323985815,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,26,projected_js,0.05305640393635258,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,27,mmd_rbf,0.005375978071242571,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,27,projected_js,0.057046660425839946,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,28,mmd_rbf,0.0050734588876366615,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,28,projected_js,0.056689292716328055,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,29,mmd_rbf,0.004870493896305561,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,29,projected_js,0.055778394220396876,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,30,mmd_rbf,0.004672138020396233,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,30,projected_js,0.05770518846111372,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,31,mmd_rbf,0.00447695842012763,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,31,projected_js,0.055174893321236596,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,32,mmd_rbf,0.004855632316321135,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,32,projected_js,0.05539922713069245,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,33,mmd_rbf,0.005217146128416061,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,33,projected_js,0.0570344872539863,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,34,mmd_rbf,0.010109576396644115,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,34,projected_js,0.060039428411982954,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,35,mmd_rbf,0.06291010230779648,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,base,35,projected_js,0.1040441346121952,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,0,mmd_rbf,0.0024766623973846436,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,0,projected_js,0.03085816041129874,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,1,mmd_rbf,0.00452003488317132,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,1,projected_js,0.037919514055829495,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,2,mmd_rbf,0.005058184266090393,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,2,projected_js,0.04154801496770233,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,3,mmd_rbf,0.006542928051203489,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,3,projected_js,0.046809375256998464,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,4,mmd_rbf,0.006895558442920446,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,4,projected_js,0.046627067029476166,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,5,mmd_rbf,0.006590881384909153,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,5,projected_js,0.047202762187225744,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,6,mmd_rbf,0.00457798270508647,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,6,projected_js,0.0456899166747462,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,7,mmd_rbf,0.003669453551992774,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,7,projected_js,0.043182658264413476,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,8,mmd_rbf,0.0028482512570917606,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,8,projected_js,0.04546389100141823,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,9,mmd_rbf,0.0028024278581142426,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,9,projected_js,0.046933120873291045,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,10,mmd_rbf,0.002894807606935501,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,10,projected_js,0.0492233649129048,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,11,mmd_rbf,0.0029571843333542347,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,11,projected_js,0.050529774598544464,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,12,mmd_rbf,0.0031657833606004715,128
aim_on_task_arithmetic__calib_uncensored_refusal_like,candidate,general,instr_only,12,projected_js,0.05058772297343239,128
