model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
aim_on_ties__calib_general,candidate,general,base,0,mmd_rbf,0.0036450207699090242,128
aim_on_ties__calib_general,candidate,general,base,0,projected_js,0.037324203716707416,128
aim_on_ties__calib_general,candidate,general,base,1,mmd_rbf,0.007303187157958746,128
aim_on_ties__calib_general,candidate,general,base,1,projected_js,0.043634092406136915,128
aim_on_ties__calib_general,candidate,general,base,2,mmd_rbf,0.006739004049450159,128
aim_on_ties__calib_general,candidate,general,base,2,projected_js,0.047534614423057064,128
aim_on_ties__calib_general,candidate,general,base,3,mmd_rbf,0.00872976053506136,128
aim_on_ties__calib_general,candidate,general,base,3,projected_js,0.04921406166977249,128
aim_on_ties__calib_general,candidate,general,base,4,mmd_rbf,0.008008524775505066,128
aim_on_ties__calib_general,candidate,general,base,4,projected_js,0.052269304724177346,128
aim_on_ties__calib_general,candidate,general,base,5,mmd_rbf,0.007451202254742384,128
aim_on_ties__calib_general,candidate,general,base,5,projected_js,0.051783382397843525,128
aim_on_ties__calib_general,candidate,general,base,6,mmd_rbf,0.005625193007290363,128
aim_on_ties__calib_general,candidate,general,base,6,projected_js,0.05118679825682193,128
aim_on_ties__calib_general,candidate,general,base,7,mmd_rbf,0.004990406334400177,128
aim_on_ties__calib_general,candidate,general,base,7,projected_js,0.053332546551246196,128
aim_on_ties__calib_general,candidate,general,base,8,mmd_rbf,0.00397650059312582,128
aim_on_ties__calib_general,candidate,general,base,8,projected_js,0.05144655850017443,128
aim_on_ties__calib_general,candidate,general,base,9,mmd_rbf,0.003841730998829007,128
aim_on_ties__calib_general,candidate,general,base,9,projected_js,0.05177610827377066,128
aim_on_ties__calib_general,candidate,general,base,10,mmd_rbf,0.003836849005892873,128
aim_on_ties__calib_general,candidate,general,base,10,projected_js,0.05081748831435107,128
aim_on_ties__calib_general,candidate,general,base,11,mmd_rbf,0.003805970074608922,128
aim_on_ties__calib_general,candidate,general,base,11,projected_js,0.05438243463868275,128
aim_on_ties__calib_general,candidate,general,base,12,mmd_rbf,0.0038171515334397554,128
aim_on_ties__calib_general,candidate,general,base,12,projected_js,0.05439142091199756,128
aim_on_ties__calib_general,candidate,general,base,13,mmd_rbf,0.003997803200036287,128
aim_on_ties__calib_general,candidate,general,base,13,projected_js,0.055094535753596574,128
aim_on_ties__calib_general,candidate,general,base,14,mmd_rbf,0.004135338589549065,128
aim_on_ties__calib_general,candidate,general,base,14,projected_js,0.0549509035772644,128
aim_on_ties__calib_general,candidate,general,base,15,mmd_rbf,0.004572975914925337,128
aim_on_ties__calib_general,candidate,general,base,15,projected_js,0.05512105824891478,128
aim_on_ties__calib_general,candidate,general,base,16,mmd_rbf,0.00528971292078495,128
aim_on_ties__calib_general,candidate,general,base,16,projected_js,0.05642101028934121,128
aim_on_ties__calib_general,candidate,general,base,17,mmd_rbf,0.005075988359749317,128
aim_on_ties__calib_general,candidate,general,base,17,projected_js,0.055936244141776115,128
aim_on_ties__calib_general,candidate,general,base,18,mmd_rbf,0.005475935526192188,128
aim_on_ties__calib_general,candidate,general,base,18,projected_js,0.0603571604588069,128
aim_on_ties__calib_general,candidate,general,base,19,mmd_rbf,0.00554693816229701,128
aim_on_ties__calib_general,candidate,general,base,19,projected_js,0.0576409850618802,128
aim_on_ties__calib_general,candidate,general,base,20,mmd_rbf,0.005385931581258774,128
aim_on_ties__calib_general,candidate,general,base,20,projected_js,0.056213323783595115,128
aim_on_ties__calib_general,candidate,general,base,21,mmd_rbf,0.0055431486107409,128
aim_on_ties__calib_general,candidate,general,base,21,projected_js,0.05895726493326947,128
aim_on_ties__calib_general,candidate,general,base,22,mmd_rbf,0.005080887116491795,128
aim_on_ties__calib_general,candidate,general,base,22,projected_js,0.05603032460203394,128
aim_on_ties__calib_general,candidate,general,base,23,mmd_rbf,0.00474834768101573,128
aim_on_ties__calib_general,candidate,general,base,23,projected_js,0.05826180736767128,128
aim_on_ties__calib_general,candidate,general,base,24,mmd_rbf,0.00428450433537364,128
aim_on_ties__calib_general,candidate,general,base,24,projected_js,0.057337978709256276,128
aim_on_ties__calib_general,candidate,general,base,25,mmd_rbf,0.0040132165886461735,128
aim_on_ties__calib_general,candidate,general,base,25,projected_js,0.05569762582308613,128
aim_on_ties__calib_general,candidate,general,base,26,mmd_rbf,0.003980622161179781,128
aim_on_ties__calib_general,candidate,general,base,26,projected_js,0.0529229961684905,128
aim_on_ties__calib_general,candidate,general,base,27,mmd_rbf,0.003949013072997332,128
aim_on_ties__calib_general,candidate,general,base,27,projected_js,0.05493227351689711,128
aim_on_ties__calib_general,candidate,general,base,28,mmd_rbf,0.0037465847562998533,128
aim_on_ties__calib_general,candidate,general,base,28,projected_js,0.05601800204021856,128
aim_on_ties__calib_general,candidate,general,base,29,mmd_rbf,0.003641194896772504,128
aim_on_ties__calib_general,candidate,general,base,29,projected_js,0.05264878299203701,128
aim_on_ties__calib_general,candidate,general,base,30,mmd_rbf,0.0035056702326983213,128
aim_on_ties__calib_general,candidate,general,base,30,projected_js,0.053769933147123083,128
aim_on_ties__calib_general,candidate,general,base,31,mmd_rbf,0.0033776958007365465,128
aim_on_ties__calib_general,candidate,general,base,31,projected_js,0.052666840550955385,128
aim_on_ties__calib_general,candidate,general,base,32,mmd_rbf,0.0036155276466161013,128
aim_on_ties__calib_general,candidate,general,base,32,projected_js,0.051244431000668555,128
aim_on_ties__calib_general,candidate,general,base,33,mmd_rbf,0.0038710706867277622,128
