model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
base,reference,general,base,0,mmd_rbf,0.0,128
base,reference,general,base,0,projected_js,0.0,128
base,reference,general,base,1,mmd_rbf,0.0,128
base,reference,general,base,1,projected_js,0.0,128
base,reference,general,base,2,mmd_rbf,0.0,128
base,reference,general,base,2,projected_js,0.0,128
base,reference,general,base,3,mmd_rbf,0.0,128
base,reference,general,base,3,projected_js,0.0,128
base,reference,general,base,4,mmd_rbf,0.0,128
base,reference,general,base,4,projected_js,0.0,128
base,reference,general,base,5,mmd_rbf,0.0,128
base,reference,general,base,5,projected_js,0.0,128
base,reference,general,base,6,mmd_rbf,0.0,128
base,reference,general,base,6,projected_js,0.0,128
base,reference,general,base,7,mmd_rbf,0.0,128
base,reference,general,base,7,projected_js,0.0,128
base,reference,general,base,8,mmd_rbf,0.0,128
base,reference,general,base,8,projected_js,0.0,128
base,reference,general,base,9,mmd_rbf,0.0,128
base,reference,general,base,9,projected_js,0.0,128
base,reference,general,base,10,mmd_rbf,0.0,128
base,reference,general,base,10,projected_js,0.0,128
base,reference,general,base,11,mmd_rbf,0.0,128
base,reference,general,base,11,projected_js,0.0,128
base,reference,general,base,12,mmd_rbf,0.0,128
base,reference,general,base,12,projected_js,0.0,128
base,reference,general,base,13,mmd_rbf,0.0,128
base,reference,general,base,13,projected_js,0.0,128
base,reference,general,base,14,mmd_rbf,0.0,128
base,reference,general,base,14,projected_js,0.0,128
base,reference,general,base,15,mmd_rbf,0.0,128
base,reference,general,base,15,projected_js,0.0,128
base,reference,general,base,16,mmd_rbf,0.0,128
base,reference,general,base,16,projected_js,0.0,128
base,reference,general,base,17,mmd_rbf,0.0,128
base,reference,general,base,17,projected_js,0.0,128
base,reference,general,base,18,mmd_rbf,0.0,128
base,reference,general,base,18,projected_js,0.0,128
base,reference,general,base,19,mmd_rbf,0.0,128
base,reference,general,base,19,projected_js,0.0,128
base,reference,general,base,20,mmd_rbf,0.0,128
base,reference,general,base,20,projected_js,0.0,128
base,reference,general,base,21,mmd_rbf,0.0,128
base,reference,general,base,21,projected_js,0.0,128
base,reference,general,base,22,mmd_rbf,0.0,128
base,reference,general,base,22,projected_js,0.0,128
base,reference,general,base,23,mmd_rbf,0.0,128
base,reference,general,base,23,projected_js,0.0,128
base,reference,general,base,24,mmd_rbf,0.0,128
base,reference,general,base,24,projected_js,0.0,128
base,reference,general,base,25,mmd_rbf,0.0,128
base,reference,general,base,25,projected_js,0.0,128
base,reference,general,base,26,mmd_rbf,0.0,128
base,reference,general,base,26,projected_js,0.0,128
base,reference,general,base,27,mmd_rbf,0.0,128
base,reference,general,base,27,projected_js,0.0,128
base,reference,general,base,28,mmd_rbf,0.0,128
base,reference,general,base,28,projected_js,0.0,128
base,reference,general,base,29,mmd_rbf,0.0,128
base,reference,general,base,29,projected_js,0.0,128
base,reference,general,base,30,mmd_rbf,0.0,128
base,reference,general,base,30,projected_js,0.0,128
base,reference,general,base,31,mmd_rbf,0.0,128
base,reference,general,base,31,projected_js,0.0,128
base,reference,general,base,32,mmd_rbf,0.0,128
base,reference,general,base,32,projected_js,0.0,128
base,reference,general,base,33,mmd_rbf,0.0,128
base,reference,general,base,33,projected_js,0.0,128
base,reference,general,base,34,mmd_rbf,0.0,128
base,reference,general,base,34,projected_js,0.0,128
base,reference,general,base,35,mmd_rbf,0.0,128
base,reference,general,base,35,projected_js,0.0,128
base,reference,general,instr_only,0,mmd_rbf,0.006909108255058527,128
base,reference,general,instr_only,0,projected_js,0.04933879722375423,128
base,reference,general,instr_only,1,mmd_rbf,0.010030634701251984,128
base,reference,general,instr_only,1,projected_js,0.05699470220133662,128
base,reference,general,instr_only,2,mmd_rbf,0.010615880601108074,128
base,reference,general,instr_only,2,projected_js,0.05773774994304404,128
base,reference,general,instr_only,3,mmd_rbf,0.012888506054878235,128
base,reference,general,instr_only,3,projected_js,0.05971163202775642,128
base,reference,general,instr_only,4,mmd_rbf,0.013947397470474243,128
base,reference,general,instr_only,4,projected_js,0.06236241810256615,128
base,reference,general,instr_only,5,mmd_rbf,0.013487795367836952,128
base,reference,general,instr_only,5,projected_js,0.06190209469059482,128
base,reference,general,instr_only,6,mmd_rbf,0.011684293858706951,128
base,reference,general,instr_only,6,projected_js,0.06117882955004461,128
base,reference,general,instr_only,7,mmd_rbf,0.010866365395486355,128
base,reference,general,instr_only,7,projected_js,0.06154240542673506,128
base,reference,general,instr_only,8,mmd_rbf,0.009068511426448822,128
base,reference,general,instr_only,8,projected_js,0.057736500224564224,128
base,reference,general,instr_only,9,mmd_rbf,0.00916294939815998,128
base,reference,general,instr_only,9,projected_js,0.06112315010977909,128
base,reference,general,instr_only,10,mmd_rbf,0.009371849708259106,128
base,reference,general,instr_only,10,projected_js,0.06172997335670516,128
base,reference,general,instr_only,11,mmd_rbf,0.009738183580338955,128
base,reference,general,instr_only,11,projected_js,0.06444420741172507,128
base,reference,general,instr_only,12,mmd_rbf,0.010047291405498981,128
base,reference,general,instr_only,12,projected_js,0.06305975682334974,128
base,reference,general,instr_only,13,mmd_rbf,0.01117675006389618,128
base,reference,general,instr_only,13,projected_js,0.06369857632671483,128
base,reference,general,instr_only,14,mmd_rbf,0.011501772329211235,128
base,reference,general,instr_only,14,projected_js,0.062343768833670765,128
base,reference,general,instr_only,15,mmd_rbf,0.012556428089737892,128
base,reference,general,instr_only,15,projected_js,0.0661474906373769,128
base,reference,general,instr_only,16,mmd_rbf,0.014775983057916164,128
base,reference,general,instr_only,16,projected_js,0.07008981565013528,128
base,reference,general,instr_only,17,mmd_rbf,0.01522017177194357,128
base,reference,general,instr_only,17,projected_js,0.06985743826953694,128
base,reference,general,instr_only,18,mmd_rbf,0.016164900735020638,128
base,reference,general,instr_only,18,projected_js,0.07221508261864074,128
base,reference,general,instr_only,19,mmd_rbf,0.01713360659778118,128
base,reference,general,instr_only,19,projected_js,0.07281024107942358,128
base,reference,general,instr_only,20,mmd_rbf,0.01687712036073208,128
base,reference,general,instr_only,20,projected_js,0.06855642079608515,128
base,reference,general,instr_only,21,mmd_rbf,0.016963480040431023,128
