model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
lot_paper_general__v1,candidate,general,base,0,mmd_rbf,0.00764121999964118,128
lot_paper_general__v1,candidate,general,base,0,projected_js,0.047426526667550206,128
lot_paper_general__v1,candidate,general,base,1,mmd_rbf,0.015190121717751026,128
lot_paper_general__v1,candidate,general,base,1,projected_js,0.05218151840381324,128
lot_paper_general__v1,candidate,general,base,2,mmd_rbf,0.014639056287705898,128
lot_paper_general__v1,candidate,general,base,2,projected_js,0.05845937452977523,128
lot_paper_general__v1,candidate,general,base,3,mmd_rbf,0.016180217266082764,128
lot_paper_general__v1,candidate,general,base,3,projected_js,0.06509888911386952,128
lot_paper_general__v1,candidate,general,base,4,mmd_rbf,0.014727077446877956,128
lot_paper_general__v1,candidate,general,base,4,projected_js,0.06300855553126894,128
lot_paper_general__v1,candidate,general,base,5,mmd_rbf,0.013607176952064037,128
lot_paper_general__v1,candidate,general,base,5,projected_js,0.06317345009301789,128
lot_paper_general__v1,candidate,general,base,6,mmd_rbf,0.009792892262339592,128
lot_paper_general__v1,candidate,general,base,6,projected_js,0.055574079597136006,128
lot_paper_general__v1,candidate,general,base,7,mmd_rbf,0.008901985362172127,128
lot_paper_general__v1,candidate,general,base,7,projected_js,0.059615883976221085,128
lot_paper_general__v1,candidate,general,base,8,mmd_rbf,0.007252172566950321,128
lot_paper_general__v1,candidate,general,base,8,projected_js,0.05696706587332301,128
lot_paper_general__v1,candidate,general,base,9,mmd_rbf,0.007464188616722822,128
lot_paper_general__v1,candidate,general,base,9,projected_js,0.058316571870818734,128
lot_paper_general__v1,candidate,general,base,10,mmd_rbf,0.0078088752925395966,128
lot_paper_general__v1,candidate,general,base,10,projected_js,0.0602591929200571,128
lot_paper_general__v1,candidate,general,base,11,mmd_rbf,0.007748554926365614,128
lot_paper_general__v1,candidate,general,base,11,projected_js,0.05881600052816793,128
lot_paper_general__v1,candidate,general,base,12,mmd_rbf,0.008064157329499722,128
lot_paper_general__v1,candidate,general,base,12,projected_js,0.06059568130876869,128
lot_paper_general__v1,candidate,general,base,13,mmd_rbf,0.008601158857345581,128
lot_paper_general__v1,candidate,general,base,13,projected_js,0.06107911645085551,128
lot_paper_general__v1,candidate,general,base,14,mmd_rbf,0.008957593701779842,128
lot_paper_general__v1,candidate,general,base,14,projected_js,0.06030090796411969,128
lot_paper_general__v1,candidate,general,base,15,mmd_rbf,0.009955020621418953,128
lot_paper_general__v1,candidate,general,base,15,projected_js,0.059376657532993704,128
lot_paper_general__v1,candidate,general,base,16,mmd_rbf,0.011478187516331673,128
lot_paper_general__v1,candidate,general,base,16,projected_js,0.0631127281812951,128
lot_paper_general__v1,candidate,general,base,17,mmd_rbf,0.011223260313272476,128
lot_paper_general__v1,candidate,general,base,17,projected_js,0.05939998821122572,128
lot_paper_general__v1,candidate,general,base,18,mmd_rbf,0.012533532455563545,128
lot_paper_general__v1,candidate,general,base,18,projected_js,0.06595136178657413,128
lot_paper_general__v1,candidate,general,base,19,mmd_rbf,0.013173580169677734,128
lot_paper_general__v1,candidate,general,base,19,projected_js,0.06852051109308377,128
lot_paper_general__v1,candidate,general,base,20,mmd_rbf,0.012852641753852367,128
lot_paper_general__v1,candidate,general,base,20,projected_js,0.06456046458333731,128
lot_paper_general__v1,candidate,general,base,21,mmd_rbf,0.01331910490989685,128
lot_paper_general__v1,candidate,general,base,21,projected_js,0.06571655004518107,128
lot_paper_general__v1,candidate,general,base,22,mmd_rbf,0.012211553752422333,128
lot_paper_general__v1,candidate,general,base,22,projected_js,0.0629577687359415,128
lot_paper_general__v1,candidate,general,base,23,mmd_rbf,0.010959121398627758,128
lot_paper_general__v1,candidate,general,base,23,projected_js,0.06408924312563613,128
lot_paper_general__v1,candidate,general,base,24,mmd_rbf,0.00968528725206852,128
lot_paper_general__v1,candidate,general,base,24,projected_js,0.06286166133941151,128
lot_paper_general__v1,candidate,general,base,25,mmd_rbf,0.008564493618905544,128
lot_paper_general__v1,candidate,general,base,25,projected_js,0.059962598053971305,128
lot_paper_general__v1,candidate,general,base,26,mmd_rbf,0.008160911500453949,128
lot_paper_general__v1,candidate,general,base,26,projected_js,0.06057588494149968,128
lot_paper_general__v1,candidate,general,base,27,mmd_rbf,0.007862023077905178,128
lot_paper_general__v1,candidate,general,base,27,projected_js,0.057250366458902135,128
lot_paper_general__v1,candidate,general,base,28,mmd_rbf,0.007397373206913471,128
lot_paper_general__v1,candidate,general,base,28,projected_js,0.06019509467296302,128
lot_paper_general__v1,candidate,general,base,29,mmd_rbf,0.00693300599232316,128
lot_paper_general__v1,candidate,general,base,29,projected_js,0.060988328885287046,128
lot_paper_general__v1,candidate,general,base,30,mmd_rbf,0.006581875961273909,128
lot_paper_general__v1,candidate,general,base,30,projected_js,0.05552954491577111,128
lot_paper_general__v1,candidate,general,base,31,mmd_rbf,0.006282656919211149,128
lot_paper_general__v1,candidate,general,base,31,projected_js,0.05696230553439818,128
lot_paper_general__v1,candidate,general,base,32,mmd_rbf,0.0068608904257416725,128
lot_paper_general__v1,candidate,general,base,32,projected_js,0.05895370297366753,128
lot_paper_general__v1,candidate,general,base,33,mmd_rbf,0.007152387406677008,128
lot_paper_general__v1,candidate,general,base,33,projected_js,0.06171212741173804,128
lot_paper_general__v1,candidate,general,base,34,mmd_rbf,0.013327195309102535,128
lot_paper_general__v1,candidate,general,base,34,projected_js,0.06533433892764151,128
