model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
lot_paper_instruction__v1,candidate,general,base,0,mmd_rbf,0.00753331184387207,128
lot_paper_instruction__v1,candidate,general,base,0,projected_js,0.044166160630993545,128
lot_paper_instruction__v1,candidate,general,base,1,mmd_rbf,0.01553244050592184,128
lot_paper_instruction__v1,candidate,general,base,1,projected_js,0.05360375950112939,128
lot_paper_instruction__v1,candidate,general,base,2,mmd_rbf,0.01524391770362854,128
lot_paper_instruction__v1,candidate,general,base,2,projected_js,0.059776185371447355,128
lot_paper_instruction__v1,candidate,general,base,3,mmd_rbf,0.015865709632635117,128
lot_paper_instruction__v1,candidate,general,base,3,projected_js,0.062170781835448,128
lot_paper_instruction__v1,candidate,general,base,4,mmd_rbf,0.013728401623666286,128
lot_paper_instruction__v1,candidate,general,base,4,projected_js,0.060995860665570945,128
lot_paper_instruction__v1,candidate,general,base,5,mmd_rbf,0.012533140368759632,128
lot_paper_instruction__v1,candidate,general,base,5,projected_js,0.05978833104018122,128
lot_paper_instruction__v1,candidate,general,base,6,mmd_rbf,0.008717442862689495,128
lot_paper_instruction__v1,candidate,general,base,6,projected_js,0.05540376270073466,128
lot_paper_instruction__v1,candidate,general,base,7,mmd_rbf,0.007931103929877281,128
lot_paper_instruction__v1,candidate,general,base,7,projected_js,0.05676778490305878,128
lot_paper_instruction__v1,candidate,general,base,8,mmd_rbf,0.006389256101101637,128
lot_paper_instruction__v1,candidate,general,base,8,projected_js,0.05509686778532341,128
lot_paper_instruction__v1,candidate,general,base,9,mmd_rbf,0.006501365453004837,128
lot_paper_instruction__v1,candidate,general,base,9,projected_js,0.05929523249506019,128
lot_paper_instruction__v1,candidate,general,base,10,mmd_rbf,0.006756782066076994,128
lot_paper_instruction__v1,candidate,general,base,10,projected_js,0.0569478731486015,128
lot_paper_instruction__v1,candidate,general,base,11,mmd_rbf,0.006750148721039295,128
lot_paper_instruction__v1,candidate,general,base,11,projected_js,0.06137739686528221,128
lot_paper_instruction__v1,candidate,general,base,12,mmd_rbf,0.007207539863884449,128
lot_paper_instruction__v1,candidate,general,base,12,projected_js,0.058672256651334465,128
lot_paper_instruction__v1,candidate,general,base,13,mmd_rbf,0.007684335112571716,128
lot_paper_instruction__v1,candidate,general,base,13,projected_js,0.05975342669989914,128
lot_paper_instruction__v1,candidate,general,base,14,mmd_rbf,0.007997280918061733,128
lot_paper_instruction__v1,candidate,general,base,14,projected_js,0.05780380265787244,128
lot_paper_instruction__v1,candidate,general,base,15,mmd_rbf,0.00892458576709032,128
lot_paper_instruction__v1,candidate,general,base,15,projected_js,0.06116407469380647,128
lot_paper_instruction__v1,candidate,general,base,16,mmd_rbf,0.010232795961201191,128
lot_paper_instruction__v1,candidate,general,base,16,projected_js,0.061464634840376675,128
lot_paper_instruction__v1,candidate,general,base,17,mmd_rbf,0.009949184022843838,128
lot_paper_instruction__v1,candidate,general,base,17,projected_js,0.060076363501138985,128
lot_paper_instruction__v1,candidate,general,base,18,mmd_rbf,0.011069740168750286,128
lot_paper_instruction__v1,candidate,general,base,18,projected_js,0.0627685266372282,128
lot_paper_instruction__v1,candidate,general,base,19,mmd_rbf,0.011720414273440838,128
lot_paper_instruction__v1,candidate,general,base,19,projected_js,0.06723506632260978,128
lot_paper_instruction__v1,candidate,general,base,20,mmd_rbf,0.011455947533249855,128
