model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
lot_paper_mix__v1,candidate,general,base,0,mmd_rbf,0.0076642571948468685,128
lot_paper_mix__v1,candidate,general,base,0,projected_js,0.04570915413205512,128
lot_paper_mix__v1,candidate,general,base,1,mmd_rbf,0.017038494348526,128
lot_paper_mix__v1,candidate,general,base,1,projected_js,0.05434515503293369,128
lot_paper_mix__v1,candidate,general,base,2,mmd_rbf,0.016856759786605835,128
lot_paper_mix__v1,candidate,general,base,2,projected_js,0.06155124166980386,128
lot_paper_mix__v1,candidate,general,base,3,mmd_rbf,0.017053687945008278,128
lot_paper_mix__v1,candidate,general,base,3,projected_js,0.06554261851124465,128
lot_paper_mix__v1,candidate,general,base,4,mmd_rbf,0.014955994673073292,128
lot_paper_mix__v1,candidate,general,base,4,projected_js,0.062386341916862875,128
lot_paper_mix__v1,candidate,general,base,5,mmd_rbf,0.013716665096580982,128
lot_paper_mix__v1,candidate,general,base,5,projected_js,0.06029168103123084,128
lot_paper_mix__v1,candidate,general,base,6,mmd_rbf,0.009587164036929607,128
lot_paper_mix__v1,candidate,general,base,6,projected_js,0.057792589970631525,128
lot_paper_mix__v1,candidate,general,base,7,mmd_rbf,0.008711621165275574,128
lot_paper_mix__v1,candidate,general,base,7,projected_js,0.05838839936768636,128
lot_paper_mix__v1,candidate,general,base,8,mmd_rbf,0.007024096790701151,128
lot_paper_mix__v1,candidate,general,base,8,projected_js,0.05340681259986013,128
lot_paper_mix__v1,candidate,general,base,9,mmd_rbf,0.007131083402782679,128
lot_paper_mix__v1,candidate,general,base,9,projected_js,0.05999047897057608,128
lot_paper_mix__v1,candidate,general,base,10,mmd_rbf,0.007428233977407217,128
lot_paper_mix__v1,candidate,general,base,10,projected_js,0.05801618559053168,128
lot_paper_mix__v1,candidate,general,base,11,mmd_rbf,0.007507069502025843,128
lot_paper_mix__v1,candidate,general,base,11,projected_js,0.061404648498864844,128
lot_paper_mix__v1,candidate,general,base,12,mmd_rbf,0.007862548343837261,128
lot_paper_mix__v1,candidate,general,base,12,projected_js,0.059253919404000044,128
lot_paper_mix__v1,candidate,general,base,13,mmd_rbf,0.008441469632089138,128
lot_paper_mix__v1,candidate,general,base,13,projected_js,0.059235461812932044,128
lot_paper_mix__v1,candidate,general,base,14,mmd_rbf,0.00874695461243391,128
lot_paper_mix__v1,candidate,general,base,14,projected_js,0.06077083575655706,128
lot_paper_mix__v1,candidate,general,base,15,mmd_rbf,0.009700372815132141,128
lot_paper_mix__v1,candidate,general,base,15,projected_js,0.06024432595586404,128
lot_paper_mix__v1,candidate,general,base,16,mmd_rbf,0.011157916858792305,128
lot_paper_mix__v1,candidate,general,base,16,projected_js,0.06126411521108821,128
lot_paper_mix__v1,candidate,general,base,17,mmd_rbf,0.010999632999300957,128
lot_paper_mix__v1,candidate,general,base,17,projected_js,0.058101827977225184,128
lot_paper_mix__v1,candidate,general,base,18,mmd_rbf,0.01232270896434784,128
lot_paper_mix__v1,candidate,general,base,18,projected_js,0.06723266572225839,128
lot_paper_mix__v1,candidate,general,base,19,mmd_rbf,0.013004586100578308,128
lot_paper_mix__v1,candidate,general,base,19,projected_js,0.06715050165075809,128
lot_paper_mix__v1,candidate,general,base,20,mmd_rbf,0.012735879980027676,128
lot_paper_mix__v1,candidate,general,base,20,projected_js,0.0641374516999349,128
lot_paper_mix__v1,candidate,general,base,21,mmd_rbf,0.013285334222018719,128
