model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
lot_paper_reasoning__v1,candidate,general,base,0,mmd_rbf,0.00786515511572361,128
lot_paper_reasoning__v1,candidate,general,base,0,projected_js,0.047522974404273555,128
lot_paper_reasoning__v1,candidate,general,base,1,mmd_rbf,0.013069415464997292,128
lot_paper_reasoning__v1,candidate,general,base,1,projected_js,0.05241300063789822,128
lot_paper_reasoning__v1,candidate,general,base,2,mmd_rbf,0.016526302322745323,128
lot_paper_reasoning__v1,candidate,general,base,2,projected_js,0.06108994112582877,128
lot_paper_reasoning__v1,candidate,general,base,3,mmd_rbf,0.017269713804125786,128
lot_paper_reasoning__v1,candidate,general,base,3,projected_js,0.06320053240051493,128
lot_paper_reasoning__v1,candidate,general,base,4,mmd_rbf,0.01521035935729742,128
lot_paper_reasoning__v1,candidate,general,base,4,projected_js,0.0622840799333062,128
lot_paper_reasoning__v1,candidate,general,base,5,mmd_rbf,0.013980102725327015,128
lot_paper_reasoning__v1,candidate,general,base,5,projected_js,0.06282895419280976,128
lot_paper_reasoning__v1,candidate,general,base,6,mmd_rbf,0.00967260543256998,128
lot_paper_reasoning__v1,candidate,general,base,6,projected_js,0.05687792075332254,128
lot_paper_reasoning__v1,candidate,general,base,7,mmd_rbf,0.008859760127961636,128
lot_paper_reasoning__v1,candidate,general,base,7,projected_js,0.059667451394489035,128
lot_paper_reasoning__v1,candidate,general,base,8,mmd_rbf,0.007161727640777826,128
lot_paper_reasoning__v1,candidate,general,base,8,projected_js,0.05485676813987084,128
lot_paper_reasoning__v1,candidate,general,base,9,mmd_rbf,0.00737015763297677,128
lot_paper_reasoning__v1,candidate,general,base,9,projected_js,0.059940271952655166,128
lot_paper_reasoning__v1,candidate,general,base,10,mmd_rbf,0.007716839667409658,128
lot_paper_reasoning__v1,candidate,general,base,10,projected_js,0.0591171660926193,128
lot_paper_reasoning__v1,candidate,general,base,11,mmd_rbf,0.007768828421831131,128
lot_paper_reasoning__v1,candidate,general,base,11,projected_js,0.0618668821407482,128
lot_paper_reasoning__v1,candidate,general,base,12,mmd_rbf,0.008211339823901653,128
lot_paper_reasoning__v1,candidate,general,base,12,projected_js,0.05940474441740662,128
lot_paper_reasoning__v1,candidate,general,base,13,mmd_rbf,0.00895292591303587,128
lot_paper_reasoning__v1,candidate,general,base,13,projected_js,0.06179427111055702,128
lot_paper_reasoning__v1,candidate,general,base,14,mmd_rbf,0.009370729327201843,128
lot_paper_reasoning__v1,candidate,general,base,14,projected_js,0.05860958233824931,128
lot_paper_reasoning__v1,candidate,general,base,15,mmd_rbf,0.010454365983605385,128
lot_paper_reasoning__v1,candidate,general,base,15,projected_js,0.062037603347562253,128
lot_paper_reasoning__v1,candidate,general,base,16,mmd_rbf,0.012189552187919617,128
lot_paper_reasoning__v1,candidate,general,base,16,projected_js,0.06241065479116514,128
lot_paper_reasoning__v1,candidate,general,base,17,mmd_rbf,0.012203824706375599,128
lot_paper_reasoning__v1,candidate,general,base,17,projected_js,0.06297194250510074,128
lot_paper_reasoning__v1,candidate,general,base,18,mmd_rbf,0.013811160810291767,128
lot_paper_reasoning__v1,candidate,general,base,18,projected_js,0.06835252657765523,128
lot_paper_reasoning__v1,candidate,general,base,19,mmd_rbf,0.014423975721001625,128
lot_paper_reasoning__v1,candidate,general,base,19,projected_js,0.06832413841038942,128
lot_paper_reasoning__v1,candidate,general,base,20,mmd_rbf,0.01404100563377142,128
lot_paper_reasoning__v1,candidate,general,base,20,projected_js,0.06610896880738437,128
