model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
lot_paper_uncensored_refusal_like__v1,candidate,general,base,0,mmd_rbf,0.007533532567322254,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,0,projected_js,0.04519351186900167,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,1,mmd_rbf,0.018708767369389534,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,1,projected_js,0.05379534570965916,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,2,mmd_rbf,0.016301820054650307,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,2,projected_js,0.059797082940349355,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,3,mmd_rbf,0.01586015522480011,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,3,projected_js,0.06450256716925651,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,4,mmd_rbf,0.013712408021092415,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,4,projected_js,0.05993597680935636,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,5,mmd_rbf,0.012514603324234486,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,5,projected_js,0.06031436499324627,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,6,mmd_rbf,0.008617833256721497,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,6,projected_js,0.05743006360717118,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,7,mmd_rbf,0.007759375032037497,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,7,projected_js,0.05698899395065382,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,8,mmd_rbf,0.006218328606337309,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,8,projected_js,0.054056553373811767,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,9,mmd_rbf,0.006268785800784826,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,9,projected_js,0.056790312024531886,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,10,mmd_rbf,0.0065267980098724365,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,10,projected_js,0.05729884572792798,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,11,mmd_rbf,0.006384674459695816,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,11,projected_js,0.0553509013261646,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,12,mmd_rbf,0.0068328664638102055,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,12,projected_js,0.05623185649164952,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,13,mmd_rbf,0.007210429757833481,128
lot_paper_uncensored_refusal_like__v1,candidate,general,base,13,projected_js,0.054872660199180245,128
