model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts
reasoning_only,reference,general,base,0,mmd_rbf,0.02482551336288452,128
reasoning_only,reference,general,base,0,projected_js,0.07957015550346114,128
reasoning_only,reference,general,base,1,mmd_rbf,0.030414102599024773,128
reasoning_only,reference,general,base,1,projected_js,0.0795450868899934,128
reasoning_only,reference,general,base,2,mmd_rbf,0.03558379039168358,128
reasoning_only,reference,general,base,2,projected_js,0.08014564437326044,128
reasoning_only,reference,general,base,3,mmd_rbf,0.04117253050208092,128
reasoning_only,reference,general,base,3,projected_js,0.09295522526372224,128
reasoning_only,reference,general,base,4,mmd_rbf,0.038541778922080994,128
reasoning_only,reference,general,base,4,projected_js,0.09079574374482036,128
reasoning_only,reference,general,base,5,mmd_rbf,0.0372777096927166,128
reasoning_only,reference,general,base,5,projected_js,0.08953529599239118,128
reasoning_only,reference,general,base,6,mmd_rbf,0.02631443180143833,128
reasoning_only,reference,general,base,6,projected_js,0.08055267250165343,128
reasoning_only,reference,general,base,7,mmd_rbf,0.024550950154662132,128
reasoning_only,reference,general,base,7,projected_js,0.07677666621748358,128
reasoning_only,reference,general,base,8,mmd_rbf,0.019313238561153412,128
reasoning_only,reference,general,base,8,projected_js,0.07146201663999818,128
reasoning_only,reference,general,base,9,mmd_rbf,0.018981898203492165,128
reasoning_only,reference,general,base,9,projected_js,0.07333293987903744,128
reasoning_only,reference,general,base,10,mmd_rbf,0.020283685997128487,128
reasoning_only,reference,general,base,10,projected_js,0.07233199765323661,128
reasoning_only,reference,general,base,11,mmd_rbf,0.018591146916151047,128
reasoning_only,reference,general,base,11,projected_js,0.07570845627924427,128
reasoning_only,reference,general,base,12,mmd_rbf,0.019075945019721985,128
reasoning_only,reference,general,base,12,projected_js,0.07581295893760398,128
reasoning_only,reference,general,base,13,mmd_rbf,0.019746500998735428,128
reasoning_only,reference,general,base,13,projected_js,0.07228761311853305,128
reasoning_only,reference,general,base,14,mmd_rbf,0.019750500097870827,128
reasoning_only,reference,general,base,14,projected_js,0.069909525627736,128
reasoning_only,reference,general,base,15,mmd_rbf,0.02102264203131199,128
reasoning_only,reference,general,base,15,projected_js,0.07404053444042802,128
reasoning_only,reference,general,base,16,mmd_rbf,0.02228534035384655,128
reasoning_only,reference,general,base,16,projected_js,0.07430489256512374,128
reasoning_only,reference,general,base,17,mmd_rbf,0.02200847677886486,128
reasoning_only,reference,general,base,17,projected_js,0.07379019359359518,128
reasoning_only,reference,general,base,18,mmd_rbf,0.025072291493415833,128
reasoning_only,reference,general,base,18,projected_js,0.07708164089126512,128
reasoning_only,reference,general,base,19,mmd_rbf,0.024672100320458412,128
reasoning_only,reference,general,base,19,projected_js,0.07583402510499582,128
reasoning_only,reference,general,base,20,mmd_rbf,0.0239034965634346,128
reasoning_only,reference,general,base,20,projected_js,0.0736842587357387,128
reasoning_only,reference,general,base,21,mmd_rbf,0.024940207600593567,128
reasoning_only,reference,general,base,21,projected_js,0.07395153120160103,128
reasoning_only,reference,general,base,22,mmd_rbf,0.021062105894088745,128
reasoning_only,reference,general,base,22,projected_js,0.07393180095823482,128
reasoning_only,reference,general,base,23,mmd_rbf,0.01732628419995308,128
reasoning_only,reference,general,base,23,projected_js,0.07385660550789908,128
reasoning_only,reference,general,base,24,mmd_rbf,0.01597290113568306,128
reasoning_only,reference,general,base,24,projected_js,0.06705024879192933,128
reasoning_only,reference,general,base,25,mmd_rbf,0.013659154064953327,128
reasoning_only,reference,general,base,25,projected_js,0.06416621874086559,128
reasoning_only,reference,general,base,26,mmd_rbf,0.012962405569851398,128
reasoning_only,reference,general,base,26,projected_js,0.06527820386691019,128
reasoning_only,reference,general,base,27,mmd_rbf,0.012299768626689911,128
reasoning_only,reference,general,base,27,projected_js,0.06573851173743606,128
reasoning_only,reference,general,base,28,mmd_rbf,0.011969718150794506,128
reasoning_only,reference,general,base,28,projected_js,0.06530073907924816,128
reasoning_only,reference,general,base,29,mmd_rbf,0.011152070015668869,128
reasoning_only,reference,general,base,29,projected_js,0.06490172509802505,128
reasoning_only,reference,general,base,30,mmd_rbf,0.010690785944461823,128
reasoning_only,reference,general,base,30,projected_js,0.060410068108467385,128
reasoning_only,reference,general,base,31,mmd_rbf,0.010395738296210766,128
reasoning_only,reference,general,base,31,projected_js,0.06343442184152082,128
reasoning_only,reference,general,base,32,mmd_rbf,0.010597114451229572,128
reasoning_only,reference,general,base,32,projected_js,0.0637356525985524,128
reasoning_only,reference,general,base,33,mmd_rbf,0.010046142153441906,128
reasoning_only,reference,general,base,33,projected_js,0.06282926595304161,128
reasoning_only,reference,general,base,34,mmd_rbf,0.011720172129571438,128
reasoning_only,reference,general,base,34,projected_js,0.06612300529377535,128
reasoning_only,reference,general,base,35,mmd_rbf,0.024146173149347305,128
reasoning_only,reference,general,base,35,projected_js,0.07257857732474804,128
reasoning_only,reference,general,instr_only,0,mmd_rbf,0.022444147616624832,128
reasoning_only,reference,general,instr_only,0,projected_js,0.07547974353656173,128
reasoning_only,reference,general,instr_only,1,mmd_rbf,0.024367904290556908,128
